instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.8828026,-78.878283,,,,,﻿w_gleeson_001,﻿Very Rev.,﻿W. Gleeson,,﻿Administrator,,,,,1868.0,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.8828026,-78.878283,,,,,﻿d_moore_001,﻿Rev.,﻿D. Moore,,,,,,,1868.0,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.8828026,-78.878283,,,,,﻿j_mcevoy_001,﻿Rev.,﻿J. McEvoy,,,,,,,1868.0,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.8828026,-78.878283,,,,,﻿wil_j_mcnao_001,﻿Rev.,﻿William J. McNao,,,,,,,1868.0,Buffalo
﻿buf.ny.0006,﻿church,﻿St. Louis',﻿German,﻿There are schools attatched to all the German and most of the other churches in the diocese,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.905645299999996,-78.825265,,,,,﻿jos_m_sorg_001,﻿Rev.,﻿Joseph M. Sorg.,,,,,,,1868.0,Buffalo
﻿buf.ny.0008,﻿church,﻿St. Mary's,﻿German,﻿There are schools attatched to all the German and most of the other churches in the diocese,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.9075495,-78.80701090000001,,,,,﻿a_v_braak_002,﻿Rev.,﻿A. Van de Braak,﻿C.SS.R.,﻿Rector,,,,,1868.0,Buffalo
﻿buf.ny.0008,﻿church,﻿Immaculate Conception,﻿German,﻿There are schools attatched to all the German and most of the other churches in the diocese,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.9075495,-78.80701090000001,,,,,﻿edw_quigley_001,﻿Rev.,﻿Edward Quigley,,,,,,,1868.0,Buffalo
﻿buf.ny.0007,﻿church,﻿St. Boniface,﻿German,﻿There are schools attatched to all the German and most of the other churches in the diocese,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.9154358,-78.7699029,,,,,﻿nic_sorg_001,﻿Rev.,﻿Nicholas Sorg.,,,,,,,1868.0,Buffalo
﻿buf.ny.0011,﻿church,﻿St. Peter's,﻿French,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.9721211,-78.81547490000001,,,,,﻿le_breton_001,﻿Rev.,﻿Le Breton,,,,,,,1868.0,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,﻿There are schools attatched to all the German and most of the other churches in the diocese,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.8864468,-78.8783689,,,,,﻿j_durthaller_001,﻿Rev.,﻿J. Durthaller,﻿S.J.,,,,,,1868.0,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,﻿There are schools attatched to all the German and most of the other churches in the diocese,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.8864468,-78.8783689,,,,,﻿m_hoering_001,﻿Rev.,﻿M. Hoering,﻿S.J.,,,,,,1868.0,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,﻿There are schools attatched to all the German and most of the other churches in the diocese,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,42.8864468,-78.8783689,,,,,﻿cha_janssen_001,﻿Rev.,﻿Charles Janssen,﻿S.J.,,,,,,1868.0,Buffalo
