instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,﻿jb_purcell_002,﻿Most Rev.,﻿J.B. Purcell,﻿D.D.,,,,,,1870.0,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,﻿e_purcell_002,﻿Very Rev.,﻿E. Purcell,,﻿V.G.,,,,,1870.0,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,﻿ch_borgess_001,﻿Rev.,﻿C.H. Borgess,,,,,,,1870.0,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,﻿wj_halley_001,﻿Rev.,﻿W.J. Halley,,,,,,,1870.0,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,﻿South-west corner of Eighth and Plum streets,,,,﻿Cincinnati,,﻿OH,,39.103509,-84.5195056,,,,,﻿gi_glass_001,﻿Rev.,﻿G.I. Glass,,,,,,,1870.0,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999999,,,,,﻿cha_driscoll_001,﻿Rev.,﻿Chas. Driscoll,﻿S.J.,,,,,,1870.0,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999999,,,,,﻿h_baselmans_001,﻿Rev.,﻿H. Baselmans,﻿S.J.,,,,,,1870.0,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999999,,,,,﻿g_f_boex_001,﻿Rev.,﻿G. F. Boex,﻿S.J.,,,,,,1870.0,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999999,,,,,﻿joh_kuhlman_001,﻿Rev.,﻿John Kuhlman,﻿S.J.,,,,,,1870.0,Cincinnati
﻿cin.oh.0002,﻿church,﻿St. Francis Xavier's,English,,"﻿on Sycamore, between Sixth and Seventh streets",,,,﻿Cincinnati,,﻿OH,,39.10430220000001,-84.50961219999999,,,,,﻿fel_verheydt_001,﻿Rev.,﻿Felix Verheydt,﻿S.J.,,,,,,1870.0,Cincinnati
﻿cin.oh.0003,﻿church,﻿St. Thomas',English,,,,,,﻿Cincinnati,,﻿OH,,39.1566619,-84.4873707,,﻿Attended from St. Xavier's,,,,,,,,,,,,1870.0,Cincinnati
﻿cin.oh.0004,﻿church,﻿St. Patrick's,English,,"﻿on Third, between Park and Mill streets",,,,﻿Cincinnati,,﻿OH,,39.1307234,-84.607739,,,,,﻿fc_mallon_001,﻿Rev.,﻿F.C. Mallon,,,,,,,1870.0,Cincinnati
﻿cin.oh.0004,﻿church,﻿St. Patrick's,English,,"﻿on Third, between Park and Mill streets",,,,﻿Cincinnati,,﻿OH,,39.1307234,-84.607739,,,,,﻿rob_doyle_001,﻿Rev.,﻿Robert Doyle,,,,,,,1870.0,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,English,,"﻿on Fifth, between Smith and Park streets",,,,﻿Cincinnati,,﻿OH,,39.2868199,-84.34986059999999,,,,,﻿ber_hengehold_001,﻿Rev.,﻿Bernard Hengehold,﻿D.D.,,,,,,1870.0,Cincinnati
