instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,﻿Residence of Rt. Rev. Bishop and Rev. Clergy adjoining the Cathedral.,﻿corner of Bluff and Second streets,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.495194700000006,-90.6668325,,,,,﻿joh_hennessy_001,﻿Rt. Rev.,﻿John Hennessy,﻿D.D.,,,,,,1870.0,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,﻿Residence of Rt. Rev. Bishop and Rev. Clergy adjoining the Cathedral.,﻿corner of Bluff and Second streets,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.495194700000006,-90.6668325,,,,,﻿tho_oreily_001,﻿Very Rev.,﻿Thomas O'Reily,,,,,,,1870.0,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,﻿Residence of Rt. Rev. Bishop and Rev. Clergy adjoining the Cathedral.,﻿corner of Bluff and Second streets,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.495194700000006,-90.6668325,,,,,﻿r_ryan_001,﻿Rev.,﻿R. Ryan,,,,,,,1870.0,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,﻿Residence of Rt. Rev. Bishop and Rev. Clergy adjoining the Cathedral.,﻿corner of Bluff and Second streets,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.495194700000006,-90.6668325,,,,,﻿mar_lee_001,﻿Rev.,﻿Martin Lee,,,,,,,1870.0,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,﻿Residence of Rt. Rev. Bishop and Rev. Clergy adjoining the Cathedral.,﻿corner of Bluff and Second streets,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.495194700000006,-90.6668325,,,,,﻿pet_odowd_001,﻿Rev.,﻿Peter O'Dowd,,,,,,,1870.0,Dubuque
﻿dub.ia.0002,﻿church,﻿St. Patrick's,English,﻿Residence adjoining,﻿corner of Fourteenth and Iowa streets.,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.506691,-90.6692977,,,,,﻿pet_bumenshankel_001,﻿Rev.,﻿Peter Bumenshankel,,,,,,,1870.0,Dubuque
﻿dub.ia.0002,﻿church,﻿St. Patrick's,English,﻿Residence adjoining,﻿corner of Fourteenth and Iowa streets.,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.506691,-90.6692977,,,,,﻿ryan_001,﻿Rev. Mr.,﻿Ryan,,,,,,,1870.0,Dubuque
﻿dub.ia.0003,﻿church,﻿St. Mary's,﻿German,﻿Residence adjoining,﻿corner of Fifteenth and White streets,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.50767966,-90.66700683,,,,,﻿a_meiss_001,﻿Rev.,﻿A. Meiss,,,,,,,1870.0,Dubuque
﻿dub.ia.0003,﻿church,﻿St. Mary's,﻿German,﻿Residence adjoining,﻿corner of Fifteenth and White streets,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.50767966,-90.66700683,,,,,﻿aug_sauter_001,﻿Rev.,﻿Augustin Sauter,,,,,,,1870.0,Dubuque
﻿dub.ia.0004,﻿church,﻿St. Joseph's,English,﻿church in process of erection,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.5831975,-90.8836303,,,,,﻿a_f_moynihan_001,﻿Rev.,﻿A. F. Moynihan,,﻿assistant,,,,,1870.0,Dubuque
﻿dub.ia.0005,﻿church,﻿St. Catherine's,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.4059085,-90.5919455,,,,,,﻿Rev.,﻿---,,,,,,,1870.0,Dubuque
﻿dub.ia.0006,﻿church,﻿St. Donatus,﻿German,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.3608433,-90.53929509999999,,,,,﻿m_flamang_001,﻿Rev.,﻿M. Flamang,,,,,,,1870.0,Dubuque
﻿dub.ia.0007,﻿church,﻿St. Theresa,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.4694679,-90.8294002,﻿dub.ia.0015,﻿attended from Burns' Settlement,,,,,,,,,,,,1870.0,Dubuque
